<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
42;g42;0.0;0;FALSE;FALSE;24;
43;g43;0.0;0;FALSE;FALSE;24;
44;g44;0.0;0;FALSE;FALSE;24;
45;g45;0.0;1;FALSE;FALSE;24;
46;g46;0.0;1;FALSE;FALSE;24;
47;g47;0.0;0;FALSE;FALSE;24;
48;g48;0.0;0;FALSE;FALSE;24;
49;g49;0.0;0;FALSE;FALSE;24;
50;g50;0.0;1;FALSE;FALSE;24;
51;g51;0.0;0;FALSE;FALSE;24;
52;g52;0.0;0;FALSE;FALSE;24;
53;g53;0.0;1;FALSE;FALSE;24;
54;g54;0.0;0;FALSE;FALSE;24;
55;g55;1965.051913383471;1;FALSE;FALSE;24;
56;g56;0.0;0;FALSE;FALSE;24;
57;g57;0.0;1;FALSE;FALSE;24;
58;g58;0.0;1;FALSE;FALSE;24;
59;g59;0.0;1;FALSE;FALSE;24;
60;g60;0.0;0;FALSE;FALSE;24;
61;g61;0.0;0;FALSE;FALSE;24;
62;g62;0.0;1;FALSE;FALSE;24;
63;g63;0.0;1;FALSE;FALSE;24;
64;g64;0.0;1;FALSE;FALSE;24;
65;g65;0.0;0;FALSE;FALSE;24;
66;g66;0.0;0;FALSE;FALSE;24;
67;g67;0.0;0;FALSE;FALSE;24;
68;g68;0.0;0;FALSE;FALSE;24;
69;g69;0.0;1;FALSE;FALSE;24;
70;g70;0.0;0;FALSE;FALSE;24;
71;g71;0.0;0;FALSE;FALSE;24;
72;g72;0.0;1;FALSE;FALSE;24;
73;g73;0.0;0;FALSE;FALSE;24;
74;g74;1002.7111656320803;1;FALSE;FALSE;24;
75;g75;0.0;1;FALSE;FALSE;24;
76;g76;0.0;0;FALSE;FALSE;24;
77;g77;1976.2393703505559;1;FALSE;FALSE;24;
78;g78;0.0;1;FALSE;FALSE;24;
79;g79;0.0;1;FALSE;FALSE;24;
80;g80;0.0;0;FALSE;FALSE;24;
81;g81;0.0;0;FALSE;FALSE;24;
82;g82;0.0;1;FALSE;FALSE;24;
83;g83;0.0;1;FALSE;FALSE;24;
84;g84;0.0;0;FALSE;FALSE;24;
85;g85;0.0;0;FALSE;FALSE;24;
86;g86;0.0;1;FALSE;FALSE;24;
87;g87;0.0;0;FALSE;FALSE;24;
88;g88;0.0;0;FALSE;FALSE;24;
89;g89;0.0;1;FALSE;FALSE;24;
90;g90;0.0;0;FALSE;FALSE;24;
91;g91;0.0;1;FALSE;FALSE;24;
92;g92;0.0;1;FALSE;FALSE;24;
93;g93;0.0;1;FALSE;FALSE;24;
94;g94;0.0;1;FALSE;FALSE;24;
95;g95;0.0;1;FALSE;FALSE;24;
96;g96;0.0;0;FALSE;FALSE;24;
97;g97;0.0;1;FALSE;FALSE;24;
98;g98;0.0;0;FALSE;FALSE;24;
99;g99;0.0;0;FALSE;FALSE;24;
100;g100;0.0;0;FALSE;FALSE;24;
101;g101;0.0;1;FALSE;FALSE;24;
102;g102;0.0;1;FALSE;FALSE;24;
103;g103;0.0;0;FALSE;FALSE;24;
104;g104;0.0;1;FALSE;FALSE;24;
105;g105;0.0;0;FALSE;FALSE;24;
106;g106;0.0;0;FALSE;FALSE;24;
107;g107;0.0;1;FALSE;FALSE;24;
108;g108;0.0;1;FALSE;FALSE;24;
109;g109;0.0;1;FALSE;FALSE;24;
110;g110;0.0;0;FALSE;FALSE;24;
111;g111;0.0;1;FALSE;FALSE;24;
112;g112;0.0;0;FALSE;FALSE;24;
113;g113;0.0;0;FALSE;FALSE;24;
114;g114;0.0;0;FALSE;FALSE;24;
115;g115;0.0;0;FALSE;FALSE;24;
116;g116;0.0;1;FALSE;FALSE;24;
117;g117;0.0;1;FALSE;FALSE;24;
118;g118;0.0;1;FALSE;FALSE;24;
119;g119;0.0;1;FALSE;FALSE;24;
120;g120;0.0;0;FALSE;FALSE;24;
121;g121;0.0;1;FALSE;FALSE;24;
122;g122;0.0;1;FALSE;FALSE;24;
123;g123;0.0;0;FALSE;FALSE;24;
124;g124;0.0;0;FALSE;FALSE;24;
125;g125;0.0;1;FALSE;FALSE;24;
126;g126;2491.987586298086;1;FALSE;FALSE;24;
127;g127;0.0;0;FALSE;FALSE;24;
128;g128;0.0;1;FALSE;FALSE;24;
129;g129;0.0;0;FALSE;FALSE;24;
130;g130;0.0;0;FALSE;FALSE;24;
131;g131;0.0;0;FALSE;FALSE;24;
132;g132;0.0;1;FALSE;FALSE;24;
133;g133;0.0;1;FALSE;FALSE;24;
134;g134;0.0;0;FALSE;FALSE;24;
135;g135;0.0;1;FALSE;FALSE;24;
136;g136;0.0;0;FALSE;FALSE;24;
137;g137;0.0;0;FALSE;FALSE;24;
138;g138;0.0;1;FALSE;FALSE;24;
139;g139;0.0;0;FALSE;FALSE;24;
140;g140;0.0;0;FALSE;FALSE;24;
141;g141;0.0;0;FALSE;FALSE;24;
142;g142;0.0;1;FALSE;FALSE;24;
143;g143;0.0;0;FALSE;FALSE;24;
144;g144;0.0;1;FALSE;FALSE;24;
145;g145;0.0;0;FALSE;FALSE;24;
146;g146;0.0;0;FALSE;FALSE;24;
147;g147;0.0;0;FALSE;FALSE;24;
148;g148;0.0;1;FALSE;FALSE;24;
149;g149;0.0;1;FALSE;FALSE;24;
150;g150;0.0;1;FALSE;FALSE;24;
151;g151;1950.7042234016358;1;FALSE;FALSE;24;
152;g152;0.0;0;FALSE;FALSE;24;
153;g153;0.0;1;FALSE;FALSE;24;
154;g154;0.0;1;FALSE;FALSE;24;
155;g155;0.0;1;FALSE;FALSE;24;
156;g156;0.0;0;FALSE;FALSE;24;
157;g157;0.0;1;FALSE;FALSE;24;
158;g158;0.0;0;FALSE;FALSE;24;
159;g159;1947.3212249434541;1;FALSE;FALSE;24;
160;g160;0.0;0;FALSE;FALSE;24;
161;g161;0.0;0;FALSE;FALSE;24;
162;g162;0.0;1;FALSE;FALSE;24;
163;g163;2695.8316337581164;1;FALSE;FALSE;24;
164;g164;0.0;0;FALSE;FALSE;24;
165;g165;0.0;1;FALSE;FALSE;24;
166;g166;0.0;0;FALSE;FALSE;24;
167;g167;0.0;0;FALSE;FALSE;24;
168;g168;0.0;0;FALSE;FALSE;24;
169;g169;0.0;0;FALSE;FALSE;24;
170;g170;1784.3663522692316;1;FALSE;FALSE;24;
171;g171;0.0;0;FALSE;FALSE;24;
172;g172;0.0;0;FALSE;FALSE;24;
173;g173;0.0;0;FALSE;FALSE;24;
174;g174;0.0;1;FALSE;FALSE;24;
175;g175;1985.4976762924389;1;FALSE;FALSE;24;
176;g176;0.0;1;FALSE;FALSE;24;
177;g177;0.0;1;FALSE;FALSE;24;
178;g178;0.0;0;FALSE;FALSE;24;
179;g179;0.0;0;FALSE;FALSE;24;
180;g180;0.0;0;FALSE;FALSE;24;
181;g181;0.0;1;FALSE;FALSE;24;
182;g182;0.0;0;FALSE;FALSE;24;
183;g183;0.0;0;FALSE;FALSE;24;
184;g184;0.0;0;FALSE;FALSE;24;
185;g185;0.0;1;FALSE;FALSE;24;
186;g186;0.0;1;FALSE;FALSE;24;
187;g187;0.0;0;FALSE;FALSE;24;
188;g188;0.0;0;FALSE;FALSE;24;
189;g189;0.0;0;FALSE;FALSE;24;
190;g190;0.0;1;FALSE;FALSE;24;
191;g191;0.0;0;FALSE;FALSE;24;
192;g192;0.0;0;FALSE;FALSE;24;
193;g193;0.0;0;FALSE;FALSE;24;
194;g194;0.0;0;FALSE;FALSE;24;
195;g195;0.0;1;FALSE;FALSE;24;
196;g196;0.0;1;FALSE;FALSE;24;
197;g197;0.0;1;FALSE;FALSE;24;
198;g198;2377.276465966138;1;FALSE;FALSE;24;
199;g199;0.0;0;FALSE;FALSE;24;
200;g200;0.0;0;FALSE;FALSE;24;
201;g201;0.0;0;FALSE;FALSE;24;
202;g202;0.0;1;FALSE;FALSE;24;
203;g203;0.0;0;FALSE;FALSE;24;
204;g204;0.0;1;FALSE;FALSE;24;
205;g205;0.0;0;FALSE;FALSE;24;
206;g206;0.0;0;FALSE;FALSE;24;
207;g207;0.0;0;FALSE;FALSE;24;
208;g208;1976.8427054464491;1;FALSE;FALSE;24;
209;g209;0.0;0;FALSE;FALSE;24;
210;g210;0.0;1;FALSE;FALSE;24;
211;g211;2270.11343940854;1;FALSE;FALSE;24;
212;g212;0.0;0;FALSE;FALSE;24;
213;g213;0.0;0;FALSE;FALSE;24;
214;g214;0.0;1;FALSE;FALSE;24;
215;g215;0.0;1;FALSE;FALSE;24;
216;g216;0.0;0;FALSE;FALSE;24;
217;g217;0.0;0;FALSE;FALSE;24;
218;g218;0.0;0;FALSE;FALSE;24;
219;g219;0.0;0;FALSE;FALSE;24;
220;g220;0.0;0;FALSE;FALSE;24;
221;g221;0.0;0;FALSE;FALSE;24;
222;g222;1970.1327419887975;1;FALSE;FALSE;24;
223;g223;0.0;0;FALSE;FALSE;24;
224;g224;0.0;0;FALSE;FALSE;24;
225;g225;0.0;0;FALSE;FALSE;24;
226;g226;0.0;1;FALSE;FALSE;24;
227;g227;0.0;1;FALSE;FALSE;24;
228;g228;0.0;0;FALSE;FALSE;24;
229;g229;0.0;0;FALSE;FALSE;24;
230;g230;0.0;1;FALSE;FALSE;24;
231;g231;0.0;0;FALSE;FALSE;24;
232;g232;0.0;1;FALSE;FALSE;24;
233;g233;2392.0744776817482;1;FALSE;FALSE;24;
234;g234;0.0;0;FALSE;FALSE;24;
235;g235;0.0;1;FALSE;FALSE;24;
236;g236;0.0;0;FALSE;FALSE;24;
237;g237;0.0;0;FALSE;FALSE;24;
238;g238;0.0;1;FALSE;FALSE;24;
239;g239;0.0;1;FALSE;FALSE;24;
240;g240;0.0;1;FALSE;FALSE;24;
241;g241;0.0;1;FALSE;FALSE;24;
242;g242;0.0;1;FALSE;FALSE;24;
243;g243;0.0;0;FALSE;FALSE;24;
244;g244;0.0;0;FALSE;FALSE;24;
245;g245;0.0;1;FALSE;FALSE;24;
246;g246;0.0;0;FALSE;FALSE;24;
247;g247;1954.4630773323775;1;FALSE;FALSE;24;
248;g248;0.0;0;FALSE;FALSE;24;
249;g249;0.0;1;FALSE;FALSE;24;
250;g250;0.0;1;FALSE;FALSE;24;
251;g251;0.0;0;FALSE;FALSE;24;
252;g252;0.0;0;FALSE;FALSE;24;
253;g253;0.0;0;FALSE;FALSE;24;
254;g254;0.0;0;FALSE;FALSE;24;
255;g255;0.0;1;FALSE;FALSE;24;
256;g256;0.0;0;FALSE;FALSE;24;
257;g257;0.0;1;FALSE;FALSE;24;
258;g258;0.0;0;FALSE;FALSE;24;
259;g259;0.0;1;FALSE;FALSE;24;
260;g260;0.0;0;FALSE;FALSE;24;
</Thermal plants>
</END>
